Sequence #,valco_position,Time.Averaged,Type,mean_d18O,d18O_diff,sd_d18O,mean_dD,sd_dD,dD_diff
1,1,10,Correction,-23.80702085,,2.646748899,-184.9653117,3.020446654,
6,1,5,Correction,-22.22507536,,0.4393216,-187.2189304,0.805956135,
4,2,10,Fill,-21.55779765,,0.213899146,-183.9420657,0.651001997,
9,2,5,result,-21.96815675,-0.4103591,0.219681611,-185.2400017,0.707038231,-1.297936
3,14,10,Fill,-21.81114641,,0.206549153,-184.344419,0.631262472,
8,14,5,result,-22.22368018,-0.41253377,0.220654237,-185.0645317,0.701327617,-0.7201127
5,15,10,Fill,-21.77241584,,0.233719206,-187.5053826,0.823487465,
10,15,5,result,-21.97656398,-0.20414814,0.229174035,-188.3623748,0.713584891,-0.8569922
2,16,10,Fill,-21.80752452,,0.21666834,-184.2505661,0.627766259,
7,16,5,result,-22.48361702,-0.6760925,0.240812387,-185.0261291,0.756764333,-0.775563